Date,Close
1991-12-31,1.296775460243225
1992-01-02,1.296775460243225
1992-01-03,1.296775460243225
1992-01-06,1.296775460243225
1992-01-07,1.296775460243225
1992-01-08,1.296775460243225
1992-01-09,1.296775460243225
1992-01-10,1.296775460243225
1992-01-13,1.296775460243225
1992-01-14,1.296775460243225
1992-01-15,1.296775460243225
1992-01-16,1.296775460243225
1992-01-17,1.296775460243225
1992-01-20,1.296775460243225
1992-01-21,1.296775460243225
1992-01-22,1.296775460243225
1992-01-23,1.296775460243225
1992-01-24,1.296775460243225
1992-01-27,1.296775460243225
1992-01-28,1.296775460243225
1992-01-29,1.296775460243225
1992-01-30,1.296775460243225
1992-01-31,1.296775460243225
1992-02-03,1.296775460243225
1992-02-04,1.296775460243225
1992-02-05,1.296775460243225
1992-02-06,1.296775460243225
1992-02-07,1.296775460243225
1992-02-10,1.296775460243225
1992-02-11,1.296775460243225
1992-02-12,1.296775460243225
1992-02-13,1.296775460243225
1992-02-14,1.296775460243225
1992-02-18,1.296775460243225
1992-02-19,1.296775460243225
1992-02-20,1.296775460243225
1992-02-21,1.296775460243225
1992-02-24,1.296775460243225
1992-02-25,1.296775460243225
1992-02-26,1.296775460243225
1992-02-27,1.296775460243225
1992-02-28,1.296775460243225
1992-03-02,1.296775460243225
1992-03-03,1.296775460243225
1992-03-04,1.296775460243225
1992-03-05,1.296775460243225
1992-03-06,1.296775460243225
1992-03-09,1.296775460243225
1992-03-10,1.296775460243225
1992-03-11,1.296775460243225
1992-03-12,1.296775460243225
1992-03-13,1.296775460243225
1992-03-16,1.296775460243225
1992-03-17,1.296775460243225
1992-03-18,1.296775460243225
1992-03-19,1.296775460243225
1992-03-20,1.296775460243225
1992-03-23,1.296775460243225
1992-03-24,1.296775460243225
1992-03-25,1.293326497077942
1992-03-26,1.293326497077942
1992-03-27,1.293326497077942
1992-03-30,1.293326497077942
1992-03-31,1.293326497077942
1992-04-01,1.293326497077942
1992-04-02,1.293326497077942
1992-04-03,1.293326497077942
1992-04-06,1.293326497077942
1992-04-07,1.293326497077942
1992-04-08,1.293326497077942
1992-04-09,1.293326497077942
1992-04-10,1.293326497077942
1992-04-13,1.293326497077942
1992-04-14,1.293326497077942
1992-04-15,1.293326497077942
1992-04-16,1.293326497077942
1992-04-20,1.293326497077942
1992-04-21,1.293326497077942
1992-04-22,1.293326497077942
1992-04-23,1.293326497077942
1992-04-24,1.293326497077942
1992-04-27,1.293326497077942
1992-04-28,1.293326497077942
1992-04-29,1.293326497077942
1992-04-30,1.293326497077942
1992-05-01,1.293326497077942
1992-05-04,1.293326497077942
